id_hotel,rating,id_user
1,4,1
2,4,1
3,4,1
4,5,1
5,5,1
6,3,1
7,5,1
8,4,1
9,5,1
10,5,1
11,5,1
12,5,1
13,3,1
14,5,1
15,4,1
16,5,1
17,3,1
18,3,1
19,5,1
20,4,1
21,4,1
22,5,1
23,4,1
24,3,1
25,4,1
26,5,1
27,4,1
28,3,1
29,5,1
30,4,1
31,4,1
32,5,1
33,4,1
34,4,1
35,4,1
36,5,1
37,5,1
38,3,1
39,5,1
40,3,1
41,4,1
42,3,1
43,3,1
44,4,1
45,5,1
46,5,1
47,5,1
48,4,1
49,5,1
50,3,1
51,5,1
52,5,1
53,5,1
54,5,1
55,3,1
56,5,1
57,5,1
58,4,1
59,5,1
60,4,1
61,5,1
62,5,1
63,5,1
64,4,1
65,5,1
66,5,1
67,4,1
68,5,1
69,5,1
70,5,1
71,5,1
72,5,1
73,4,1
74,5,1
75,5,1
76,4,1
77,2,1
78,5,1
79,5,1
80,5,1
81,5,1
82,5,1
83,5,1
84,3,1
85,4,1
86,5,1
87,5,1
88,5,1
89,5,1
90,5,1
91,5,1
92,4,1
93,3,1
94,3,1
95,3,1
96,3,1
97,4,1
98,4,1
99,5,1
100,4,1
101,5,1
102,3,1
103,5,1
104,5,1
105,4,1
106,5,1
107,3,1
108,3,1
109,5,1
110,4,1
111,4,1
112,5,1
113,4,1
114,4,1
115,5,1
116,5,1
117,4,1
118,4,1
119,5,1
120,4,1
121,5,1
122,4,1
123,5,1
124,4,1
125,5,1
126,4,1
127,5,1
128,5,1
129,5,1
130,3,1
131,5,1
132,4,1
133,4,1
134,4,1
135,5,1
136,5,1
137,5,1
138,5,1
139,5,1
140,4,1
141,5,1
142,4,1
143,4,1
144,2,1
145,4,1
146,4,1
147,5,1
148,5,1
149,2,1
150,5,1
151,4,1
152,5,1
153,2,1
154,5,1
155,4,1
156,3,1
157,5,1
158,4,1
159,5,1
160,5,1
161,4,1
162,4,1
163,5,1
164,3,1
165,5,1
166,5,1
167,5,1
168,5,1
169,5,1
170,4,1
171,2,1
172,4,1
173,4,1
174,5,1
175,4,1
176,4,1
177,5,1
178,3,1
179,5,1
180,5,1
181,5,1
182,5,1
183,4,1
184,4,1
185,5,1
186,5,1
187,5,1
188,4,1
189,5,1
190,5,1
191,5,1
192,5,1
193,5,1
194,4,1
195,5,1
196,5,1
197,5,1
198,4,1
199,5,1
200,5,1
201,5,1
202,5,1
203,4,1
204,5,1
205,4,1
206,1,1
207,3,1
208,3,1
209,5,1
210,5,1
211,5,1
212,4,1
213,4,1
214,5,1
215,5,1
216,5,1
217,4,1
218,4,1
219,4,1
220,5,1
221,4,1
222,4,1
223,5,1
224,5,1
225,5,1
226,5,1
227,4,1
228,4,1
229,5,1
230,4,1
231,4,1
232,5,1
233,3,2
19,4,2
234,4,2
220,4,2
235,4,2
236,3,2
237,4,2
238,4,2
239,4,2
240,5,2
241,4,2
242,3,2
243,4,2
244,3,2
245,4,2
246,4,2
247,5,2
248,4,2
249,5,2
250,3,2
251,2,2
252,3,2
253,5,2
254,3,2
255,4,2
256,2,2
257,3,2
258,5,2
259,5,2
260,0,3
29,0,3
261,0,3
262,0,3
263,0,3
264,5,3
265,0,3
266,0,3
267,0,3
268,0,3
269,0,3
87,3,3
270,0,3
271,3,3
103,4,3
121,0,3
272,0,3
129,0,3
134,2,3
273,4,3
274,0,3
275,5,3
276,4,3
277,0,3
225,5,3
278,0,3
279,5,3
280,0,3
281,5,3
282,5,3
283,4,3
284,5,3
285,0,3
286,5,3
287,4,3
288,5,3
289,4,3
290,5,3
291,0,3
292,3,4
293,2,4
294,3,4
4,2,4
295,3,4
296,3,4
297,4,4
298,5,4
299,1,4
300,5,4
301,3,4
302,5,4
303,2,4
304,5,4
305,1,4
306,5,4
15,2,4
307,3,4
16,5,4
308,5,4
17,1,4
309,5,4
310,5,4
311,4,4
312,4,4
313,3,4
314,3,4
315,4,4
316,2,4
25,1,4
317,2,4
26,5,4
318,5,4
319,5,4
320,1,4
321,5,4
322,1,4
32,2,4
323,4,4
35,5,4
324,3,4
325,2,4
37,5,4
38,3,4
326,4,4
327,3,4
328,4,4
329,4,4
330,5,4
331,4,4
332,4,4
333,4,4
334,5,4
335,5,4
336,5,4
265,5,4
45,5,4
337,5,4
338,5,4
339,3,4
53,4,4
340,5,4
341,3,4
60,2,4
61,4,4
342,5,4
343,2,4
62,5,4
344,5,4
345,5,4
346,3,4
347,5,4
68,5,4
348,4,4
349,1,4
350,5,4
69,5,4
70,5,4
71,3,4
351,2,4
352,5,4
353,1,4
75,4,4
77,4,4
354,4,4
355,5,4
356,4,4
85,4,4
357,4,4
358,2,4
89,5,4
359,5,4
360,4,4
90,4,4
361,3,4
362,1,4
363,5,4
364,4,4
98,4,4
99,4,4
102,3,4
365,1,4
104,2,4
366,4,4
234,1,4
367,4,4
109,4,4
368,5,4
369,3,4
370,5,4
371,2,4
372,4,4
373,3,4
374,2,4
375,4,4
376,3,4
377,4,4
378,1,4
379,3,4
380,5,4
381,2,4
117,5,4
382,4,4
383,2,4
384,4,4
128,5,4
385,4,4
386,3,4
387,5,4
142,5,4
388,5,4
389,4,4
390,5,4
391,1,4
392,1,4
393,2,4
394,4,4
395,4,4
396,5,4
154,3,4
155,4,4
397,4,4
167,1,4
398,5,4
399,5,4
172,1,4
400,4,4
179,5,4
401,2,4
402,4,4
403,1,4
404,2,4
405,5,4
406,5,4
185,5,4
407,4,4
408,4,4
409,5,4
193,2,4
410,2,4
198,4,4
199,4,4
411,5,4
412,4,4
413,3,4
414,5,4
415,4,4
416,1,4
206,4,4
417,4,4
418,4,4
419,4,4
420,3,4
421,5,4
211,4,4
422,4,4
423,2,4
218,1,4
424,5,4
425,2,4
426,1,4
427,3,4
230,3,4
428,5,4
429,4,4
430,3,4
431,4,4
432,4,4
433,3,4
434,1,4
435,3,4
436,4,4
437,3,4
438,3,4
439,4,4
440,5,4
441,3,4
442,4,4
443,3,4
444,3,4
445,2,4
446,5,4
447,4,4
448,3,4
449,2,4
450,4,4
451,1,4
452,4,4
453,3,4
454,1,4
455,3,4
456,5,4
457,3,4
458,4,4
459,4,4
460,5,4
1,4,5
292,4,5
461,4,5
462,4,5
463,3,5
5,4,5
296,5,5
8,4,5
464,3,5
465,3,5
306,4,5
307,5,5
466,3,5
467,4,5
308,3,5
468,1,5
469,5,5
17,5,5
470,3,5
18,2,5
233,3,5
471,3,5
20,3,5
314,2,5
472,3,5
23,4,5
473,2,5
474,3,5
26,4,5
475,4,5
318,5,5
476,3,5
29,5,5
477,4,5
